Columna1	Columna2	Columna3	Columna4	Columna5	Columna6	Columna7
NF-033	Confiabilidad	Queue y notificaciones	simular falla de envio de mail o job fallido	Resiliencia	"error observable, reintento controlado, sistema no queda inconsistente"	No identificada
NF-034	Confiabilidad	Integridad de estados	"forzar transiciones invalidas entre estados de requisicion, RFQ, OC/OCD y recepcion"	Resiliencia	bloqueo consistente y mensaje funcional	Parcial
NF-035	Confiabilidad	Scheduler withoutOverlapping	lanzar dos instancias del mismo command programado	Resiliencia	no hay ejecucion paralela del mismo proceso	No identificada
NF-036	Confiabilidad	Archivos faltantes	remision/documento/adjunto inexistente despues de haber sido referenciado	Recuperacion	UX controlada; 404 o mensaje claro; no error 500	No identificada
NF-040	Usabilidad	Formularios criticos	"revisar claridad de mensajes y validaciones en registro, requisicion, RFQ, OCD, recepcion e invoice"	Usabilidad	mensajes comprensibles y accionables	No identificada
NF-041	Usabilidad	Navegacion	"menu, breadcrumbs, acciones primarias y estados vacios en modulos clave"	Usabilidad	flujo entendible para usuario objetivo	No identificada
NF-042	Usabilidad	Responsive	"supplier dashboard, RFQ supplier, deliveries, invoices, receptions pending y forms principales en movil/tablet"	Compatibilidad	operable en resoluciones objetivo sin clipping critico	No identificada
NF-043	Accesibilidad	Formularios y tablas	"labels, foco, contraste, keyboard nav, mensajes de error asociados"	Accesibilidad	cumplimiento minimo WCAG AA en pantallas criticas	No identificada
NF-044	Compatibilidad	Navegadores	"Chrome, Edge y Firefox en flujos staff y supplier"	Compatibilidad	sin regresiones visuales o funcionales criticas	No identificada
NF-045	Compatibilidad	Descargas	"XML, PDF, remisiones, attachments"	Compatibilidad	"archivos descargan con nombre, mime y contenido correctos"	Parcial
NF-050	Mantenibilidad	Observabilidad de negocio	"revisar activity log y campos de auditoria en rechazos, aprobaciones, recepciones, promociones y ajustes"	Auditoria	toda accion critica deja huella util para soporte	Parcial
NF-051	Mantenibilidad	Logs operativos	revisar logs de exchange rate y close inactive; errores en jobs/commands	Auditoria	mensajes suficientes para diagnostico y soporte	No identificada
NF-052	Mantenibilidad	Seeders y migraciones	levantar entorno desde cero con migraciones y seeders	Configuracion	entorno reproducible sin intervencion manual oculta	No identificada
NF-053	Mantenibilidad	Paridad de motor DB	ejecutar flujos criticos en SQLite de tests y SQL Server/staging	Compatibilidad tecnica	reglas SQL especificas no rompen en entorno real	No identificada
NF-054	Mantenibilidad	Cobertura automatizada	medir cobertura real por modulo y detectar huecos de regresion	Calidad interna	tablero de cobertura alineado a esta matriz	No identificada
NF-055	Portabilidad operativa	Filesystems configurados	"public, tress y almacenamiento de uploads"	Configuracion	"rutas, permisos y enlaces funcionan en todos los ambientes"	No identificada
NF-060	Integridad de datos	Relaciones y borrados	"probar deletes con entidades en uso: suppliers, categories, stations, cost centers, budgets, orders"	Integridad	no quedan huerfanos ni cascadas no deseadas	No identificada
NF-061	Integridad de datos	Precision monetaria	"revisar redondeo en presupuestos, RFQ, OC/OCD, recepciones y provisiones"	Integridad	sumas y diferencias cuadran a precision esperada	No identificada
NF-062	Integridad de datos	Fechas y zonas horarias	"validacion de dailyAt, between, fechas de recepcion, vencimientos y trazas"	Integridad	no hay desfaces de horario ni cierre fuera de ventana	No identificada
NF-063	Cumplimiento	CFDI e invoice parsing	"UUID, RFC, total, xml/pdf asociados y mensajes de rechazo"	Cumplimiento	parseo y validacion fiscal consistentes	Parcial
NF-064	Cumplimiento	EFOS	"fuentes inaccesibles, CSV alterado, columnas faltantes"	Cumplimiento	falla controlada y no corrompe catalogo EFOS local	Parcial
NF-065	Disponibilidad	Dependencias externas	"caida de API de tipo de cambio, SMTP, storage o SAT"	Recuperacion	"degradacion controlada, alertas y reintentos definidos"	No identificada
NF-066	Recuperacion	Backup funcional de evidencia	"restaurar docs, remisiones e invoices desde respaldo de staging"	Recuperacion	archivos recuperables y rutas vigentes	No identificada
