ID,Categoria,"Requerimiento no funcional","Escenario de prueba",Precondiciones,"Pasos ejecutados","Resultado esperado","Resultado obtenido",Estatus
NF-022,Rendimiento,"RFQ comparison","Comparar RFQ con muchas partidas y proveedores","Ambiente de QA disponible; controles de Rendimiento habilitados; alcance RFQ comparison accesible; metodo Carga preparado para validacion; bitacoras o monitoreo disponibles para evidencia.","Preparar el escenario de Rendimiento -> Ubicar el alcance RFQ comparison -> Ejecutar la prueba comparar RFQ con muchas partidas y proveedores -> Validar respuesta, controles, logs y evidencia","Pagina usable y consultas estables.","Pendiente de ejecucion.",
NF-023,Rendimiento,"Budget availability","Ejecutar check-availability concurrente desde requisiciones y OCD","Ambiente de QA disponible; controles de Rendimiento habilitados; alcance Budget availability accesible; metodo Carga preparado para validacion; bitacoras o monitoreo disponibles para evidencia.","Preparar el escenario de Rendimiento -> Ubicar el alcance Budget availability -> Ejecutar la prueba ejecutar check-availability concurrente desde requisiciones y OCD -> Validar respuesta, controles, logs y evidencia","Respuesta consistente y sin sobregiros por carrera.","Pendiente de ejecucion.",
NF-024,Rendimiento,Recepciones,"Registrar recepcion con multiples partidas y evidencias","Ambiente de QA disponible; controles de Rendimiento habilitados; alcance Recepciones accesible; metodo Carga preparado para validacion; bitacoras o monitoreo disponibles para evidencia.","Preparar el escenario de Rendimiento -> Ubicar el alcance Recepciones -> Ejecutar la prueba registrar recepcion con multiples partidas y evidencias -> Validar respuesta, controles, logs y evidencia","Respuesta sin timeout; archivos persistidos correctamente.","Pendiente de ejecucion.",
NF-025,Rendimiento,"Sync EFOS","Procesar CSV grande del SAT","Ambiente de QA disponible; controles de Rendimiento habilitados; alcance Sync EFOS accesible; metodo Carga preparado para validacion; bitacoras o monitoreo disponibles para evidencia.","Preparar el escenario de Rendimiento -> Ubicar el alcance Sync EFOS -> Ejecutar la prueba procesar CSV grande del SAT -> Validar respuesta, controles, logs y evidencia","Job concluye dentro de ventana operativa y sin agotar memoria.","Pendiente de ejecucion.",
NF-026,Rendimiento,"Sync TRESS","Procesar CSV grande de empleados","Ambiente de QA disponible; controles de Rendimiento habilitados; alcance Sync TRESS accesible; metodo Carga preparado para validacion; bitacoras o monitoreo disponibles para evidencia.","Preparar el escenario de Rendimiento -> Ubicar el alcance Sync TRESS -> Ejecutar la prueba procesar CSV grande de empleados -> Validar respuesta, controles, logs y evidencia","Tiempo de importacion controlado; sin duplicados ni bloqueos.","Pendiente de ejecucion.",
NF-027,Rendimiento,"Scheduler nocturno","Cierre masivo de OC/OCD y envio de alertas","Ambiente de QA disponible; controles de Rendimiento habilitados; alcance Scheduler nocturno accesible; metodo Carga preparado para validacion; bitacoras o monitoreo disponibles para evidencia.","Preparar el escenario de Rendimiento -> Ubicar el alcance Scheduler nocturno -> Ejecutar la prueba cierre masivo de OC/OCD y envio de alertas -> Validar respuesta, controles, logs y evidencia","Sin solapamientos; finaliza dentro de la ventana de cron.","Pendiente de ejecucion.",
NF-030,Confiabilidad,"Transacciones criticas","Inducir falla intermedia en registro de supplier, RFQ, OCD, recepcion e invoice","Ambiente de QA disponible; controles de Confiabilidad habilitados; alcance Transacciones criticas accesible; metodo Resiliencia preparado para validacion; bitacoras o monitoreo disponibles para evidencia.","Preparar el escenario de Confiabilidad -> Ubicar el alcance Transacciones criticas -> Ejecutar la prueba inducir falla intermedia en registro de supplier, RFQ, OCD, recepcion e invoice -> Validar respuesta, controles, logs y evidencia","Rollback completo; no quedan registros huerfanos.","Pendiente de ejecucion.",
NF-031,Confiabilidad,"Idempotencia de commands/jobs","Ejecutar sync EFOS, sync tipo de cambio, TRESS y cierre inactivo dos veces seguidas","Ambiente de QA disponible; controles de Confiabilidad habilitados; alcance Idempotencia de commands/jobs accesible; metodo Resiliencia preparado para validacion; bitacoras o monitoreo disponibles para evidencia.","Preparar el escenario de Confiabilidad -> Ubicar el alcance Idempotencia de commands/jobs -> Ejecutar la prueba ejecutar sync EFOS, sync tipo de cambio, TRESS y cierre inactivo dos veces seguidas -> Validar respuesta, controles, logs y evidencia","Segunda ejecucion no rompe datos ni duplica efectos.","Pendiente de ejecucion.",
NF-032,Confiabilidad,Concurrencia,"Doble submit, doble approve, doble reception, doble link-invoice","Ambiente de QA disponible; controles de Confiabilidad habilitados; alcance Concurrencia accesible; metodo Resiliencia preparado para validacion; bitacoras o monitoreo disponibles para evidencia.","Preparar el escenario de Confiabilidad -> Ubicar el alcance Concurrencia -> Ejecutar la prueba doble submit, doble approve, doble reception, doble link-invoice -> Validar respuesta, controles, logs y evidencia","Una sola operacion prevalece; la otra falla controladamente.","Pendiente de ejecucion.",
NF-033,Confiabilidad,"Queue y notificaciones","Simular falla de envio de mail o job fallido","Ambiente de QA disponible; controles de Confiabilidad habilitados; alcance Queue y notificaciones accesible; metodo Resiliencia preparado para validacion; bitacoras o monitoreo disponibles para evidencia.","Preparar el escenario de Confiabilidad -> Ubicar el alcance Queue y notificaciones -> Ejecutar la prueba simular falla de envio de mail o job fallido -> Validar respuesta, controles, logs y evidencia","Error observable, reintento controlado, sistema no queda inconsistente.","Pendiente de ejecucion.",
NF-034,Confiabilidad,"Integridad de estados","Forzar transiciones invalidas entre estados de requisicion, RFQ, OC/OCD y recepcion","Ambiente de QA disponible; controles de Confiabilidad habilitados; alcance Integridad de estados accesible; metodo Resiliencia preparado para validacion; bitacoras o monitoreo disponibles para evidencia.","Preparar el escenario de Confiabilidad -> Ubicar el alcance Integridad de estados -> Ejecutar la prueba forzar transiciones invalidas entre estados de requisicion, RFQ, OC/OCD y recepcion -> Validar respuesta, controles, logs y evidencia","Bloqueo consistente y mensaje funcional.","Pendiente de ejecucion.",
NF-035,Confiabilidad,"Scheduler withoutOverlapping","Lanzar dos instancias del mismo command programado","Ambiente de QA disponible; controles de Confiabilidad habilitados; alcance Scheduler withoutOverlapping accesible; metodo Resiliencia preparado para validacion; bitacoras o monitoreo disponibles para evidencia.","Preparar el escenario de Confiabilidad -> Ubicar el alcance Scheduler withoutOverlapping -> Ejecutar la prueba lanzar dos instancias del mismo command programado -> Validar respuesta, controles, logs y evidencia","No hay ejecucion paralela del mismo proceso.","Pendiente de ejecucion.",
NF-036,Confiabilidad,"Archivos faltantes","Remision/documento/adjunto inexistente despues de haber sido referenciado","Ambiente de QA disponible; controles de Confiabilidad habilitados; alcance Archivos faltantes accesible; metodo Recuperacion preparado para validacion; bitacoras o monitoreo disponibles para evidencia.","Preparar el escenario de Confiabilidad -> Ubicar el alcance Archivos faltantes -> Ejecutar la prueba remision/documento/adjunto inexistente despues de haber sido referenciado -> Validar respuesta, controles, logs y evidencia","UX controlada; 404 o mensaje claro; no error 500.","Pendiente de ejecucion.",
NF-040,Usabilidad,"Formularios criticos","Revisar claridad de mensajes y validaciones en registro, requisicion, RFQ, OCD, recepcion e invoice","Ambiente de QA disponible; controles de Usabilidad habilitados; alcance Formularios criticos accesible; metodo Usabilidad preparado para validacion; bitacoras o monitoreo disponibles para evidencia.","Preparar el escenario de Usabilidad -> Ubicar el alcance Formularios criticos -> Ejecutar la prueba revisar claridad de mensajes y validaciones en registro, requisicion, RFQ, OCD, recepcion e invoice -> Validar respuesta, controles, logs y evidencia","Mensajes comprensibles y accionables.","Pendiente de ejecucion.",
NF-041,Usabilidad,Navegacion,"Menu, breadcrumbs, acciones primarias y estados vacios en modulos clave","Ambiente de QA disponible; controles de Usabilidad habilitados; alcance Navegacion accesible; metodo Usabilidad preparado para validacion; bitacoras o monitoreo disponibles para evidencia.","Preparar el escenario de Usabilidad -> Ubicar el alcance Navegacion -> Ejecutar la prueba menu, breadcrumbs, acciones primarias y estados vacios en modulos clave -> Validar respuesta, controles, logs y evidencia","Flujo entendible para usuario objetivo.","Pendiente de ejecucion.",
NF-042,Usabilidad,Responsive,"Supplier dashboard, RFQ supplier, deliveries, invoices, receptions pending y forms principales en movil/tablet","Ambiente de QA disponible; controles de Usabilidad habilitados; alcance Responsive accesible; metodo Compatibilidad preparado para validacion; bitacoras o monitoreo disponibles para evidencia.","Preparar el escenario de Usabilidad -> Ubicar el alcance Responsive -> Ejecutar la prueba supplier dashboard, RFQ supplier, deliveries, invoices, receptions pending y forms principales en movil/tablet -> Validar respuesta, controles, logs y evidencia","Operable en resoluciones objetivo sin clipping critico.","Pendiente de ejecucion.",
NF-043,Accesibilidad,"Formularios y tablas","Labels, foco, contraste, keyboard nav, mensajes de error asociados","Ambiente de QA disponible; controles de Accesibilidad habilitados; alcance Formularios y tablas accesible; metodo Accesibilidad preparado para validacion; bitacoras o monitoreo disponibles para evidencia.","Preparar el escenario de Accesibilidad -> Ubicar el alcance Formularios y tablas -> Ejecutar la prueba labels, foco, contraste, keyboard nav, mensajes de error asociados -> Validar respuesta, controles, logs y evidencia","Cumplimiento minimo WCAG AA en pantallas criticas.","Pendiente de ejecucion.",
NF-044,Compatibilidad,Navegadores,"Chrome, Edge y Firefox en flujos staff y supplier","Ambiente de QA disponible; controles de Compatibilidad habilitados; alcance Navegadores accesible; metodo Compatibilidad preparado para validacion; bitacoras o monitoreo disponibles para evidencia.","Preparar el escenario de Compatibilidad -> Ubicar el alcance Navegadores -> Ejecutar la prueba Chrome, Edge y Firefox en flujos staff y supplier -> Validar respuesta, controles, logs y evidencia","Sin regresiones visuales o funcionales criticas.","Pendiente de ejecucion.",
NF-045,Compatibilidad,Descargas,"XML, PDF, remisiones, attachments","Ambiente de QA disponible; controles de Compatibilidad habilitados; alcance Descargas accesible; metodo Compatibilidad preparado para validacion; bitacoras o monitoreo disponibles para evidencia.","Preparar el escenario de Compatibilidad -> Ubicar el alcance Descargas -> Ejecutar la prueba XML, PDF, remisiones, attachments -> Validar respuesta, controles, logs y evidencia","Archivos descargan con nombre, mime y contenido correctos.","Pendiente de ejecucion.",
NF-050,Mantenibilidad,"Observabilidad de negocio","Revisar activity log y campos de auditoria en rechazos, aprobaciones, recepciones, promociones y ajustes","Ambiente de QA disponible; controles de Mantenibilidad habilitados; alcance Observabilidad de negocio accesible; metodo Auditoria preparado para validacion; bitacoras o monitoreo disponibles para evidencia.","Preparar el escenario de Mantenibilidad -> Ubicar el alcance Observabilidad de negocio -> Ejecutar la prueba revisar activity log y campos de auditoria en rechazos, aprobaciones, recepciones, promociones y ajustes -> Validar respuesta, controles, logs y evidencia","Toda accion critica deja huella util para soporte.","Pendiente de ejecucion.",
NF-051,Mantenibilidad,"Logs operativos","Revisar logs de exchange rate y close inactive; errores en jobs/commands","Ambiente de QA disponible; controles de Mantenibilidad habilitados; alcance Logs operativos accesible; metodo Auditoria preparado para validacion; bitacoras o monitoreo disponibles para evidencia.","Preparar el escenario de Mantenibilidad -> Ubicar el alcance Logs operativos -> Ejecutar la prueba revisar logs de exchange rate y close inactive; errores en jobs/commands -> Validar respuesta, controles, logs y evidencia","Mensajes suficientes para diagnostico y soporte.","Pendiente de ejecucion.",
NF-052,Mantenibilidad,"Seeders y migraciones","Levantar entorno desde cero con migraciones y seeders","Ambiente de QA disponible; controles de Mantenibilidad habilitados; alcance Seeders y migraciones accesible; metodo Configuracion preparado para validacion; bitacoras o monitoreo disponibles para evidencia.","Preparar el escenario de Mantenibilidad -> Ubicar el alcance Seeders y migraciones -> Ejecutar la prueba levantar entorno desde cero con migraciones y seeders -> Validar respuesta, controles, logs y evidencia","Entorno reproducible sin intervencion manual oculta.","Pendiente de ejecucion.",
NF-053,Mantenibilidad,"Paridad de motor DB","Ejecutar flujos criticos en SQLite de tests y SQL Server/staging","Ambiente de QA disponible; controles de Mantenibilidad habilitados; alcance Paridad de motor DB accesible; metodo Compatibilidad tecnica preparado para validacion; bitacoras o monitoreo disponibles para evidencia.","Preparar el escenario de Mantenibilidad -> Ubicar el alcance Paridad de motor DB -> Ejecutar la prueba ejecutar flujos criticos en SQLite de tests y SQL Server/staging -> Validar respuesta, controles, logs y evidencia","Reglas SQL especificas no rompen en entorno real.","Pendiente de ejecucion.",
NF-054,Mantenibilidad,"Cobertura automatizada","Medir cobertura real por modulo y detectar huecos de regresion","Ambiente de QA disponible; controles de Mantenibilidad habilitados; alcance Cobertura automatizada accesible; metodo Calidad interna preparado para validacion; bitacoras o monitoreo disponibles para evidencia.","Preparar el escenario de Mantenibilidad -> Ubicar el alcance Cobertura automatizada -> Ejecutar la prueba medir cobertura real por modulo y detectar huecos de regresion -> Validar respuesta, controles, logs y evidencia","Tablero de cobertura alineado a esta matriz.","Pendiente de ejecucion.",
NF-055,"Portabilidad operativa","Filesystems configurados","Public, tress y almacenamiento de uploads","Ambiente de QA disponible; controles de Portabilidad operativa habilitados; alcance Filesystems configurados accesible; metodo Configuracion preparado para validacion; bitacoras o monitoreo disponibles para evidencia.","Preparar el escenario de Portabilidad operativa -> Ubicar el alcance Filesystems configurados -> Ejecutar la prueba public, tress y almacenamiento de uploads -> Validar respuesta, controles, logs y evidencia","Rutas, permisos y enlaces funcionan en todos los ambientes.","Pendiente de ejecucion.",
NF-060,"Integridad de datos","Relaciones y borrados","Probar deletes con entidades en uso: suppliers, categories, stations, cost centers, budgets, orders","Ambiente de QA disponible; controles de Integridad de datos habilitados; alcance Relaciones y borrados accesible; metodo Integridad preparado para validacion; bitacoras o monitoreo disponibles para evidencia.","Preparar el escenario de Integridad de datos -> Ubicar el alcance Relaciones y borrados -> Ejecutar la prueba probar deletes con entidades en uso: suppliers, categories, stations, cost centers, budgets, orders -> Validar respuesta, controles, logs y evidencia","No quedan huerfanos ni cascadas no deseadas.","Pendiente de ejecucion.",
NF-061,"Integridad de datos","Precision monetaria","Revisar redondeo en presupuestos, RFQ, OC/OCD, recepciones y provisiones","Ambiente de QA disponible; controles de Integridad de datos habilitados; alcance Precision monetaria accesible; metodo Integridad preparado para validacion; bitacoras o monitoreo disponibles para evidencia.","Preparar el escenario de Integridad de datos -> Ubicar el alcance Precision monetaria -> Ejecutar la prueba revisar redondeo en presupuestos, RFQ, OC/OCD, recepciones y provisiones -> Validar respuesta, controles, logs y evidencia","Sumas y diferencias cuadran a precision esperada.","Pendiente de ejecucion.",
NF-062,"Integridad de datos","Fechas y zonas horarias","Validacion de dailyAt, between, fechas de recepcion, vencimientos y trazas","Ambiente de QA disponible; controles de Integridad de datos habilitados; alcance Fechas y zonas horarias accesible; metodo Integridad preparado para validacion; bitacoras o monitoreo disponibles para evidencia.","Preparar el escenario de Integridad de datos -> Ubicar el alcance Fechas y zonas horarias -> Ejecutar la prueba validacion de dailyAt, between, fechas de recepcion, vencimientos y trazas -> Validar respuesta, controles, logs y evidencia","No hay desfaces de horario ni cierre fuera de ventana.","Pendiente de ejecucion.",
NF-063,Cumplimiento,"CFDI e invoice parsing","UUID, RFC, total, xml/pdf asociados y mensajes de rechazo","Ambiente de QA disponible; controles de Cumplimiento habilitados; alcance CFDI e invoice parsing accesible; metodo Cumplimiento preparado para validacion; bitacoras o monitoreo disponibles para evidencia.","Preparar el escenario de Cumplimiento -> Ubicar el alcance CFDI e invoice parsing -> Ejecutar la prueba UUID, RFC, total, xml/pdf asociados y mensajes de rechazo -> Validar respuesta, controles, logs y evidencia","Parseo y validacion fiscal consistentes.","Pendiente de ejecucion.",
NF-064,Cumplimiento,EFOS,"Fuentes inaccesibles, CSV alterado, columnas faltantes","Ambiente de QA disponible; controles de Cumplimiento habilitados; alcance EFOS accesible; metodo Cumplimiento preparado para validacion; bitacoras o monitoreo disponibles para evidencia.","Preparar el escenario de Cumplimiento -> Ubicar el alcance EFOS -> Ejecutar la prueba fuentes inaccesibles, CSV alterado, columnas faltantes -> Validar respuesta, controles, logs y evidencia","Falla controlada y no corrompe catalogo EFOS local.","Pendiente de ejecucion.",
NF-065,Disponibilidad,"Dependencias externas","Caida de API de tipo de cambio, SMTP, storage o SAT","Ambiente de QA disponible; controles de Disponibilidad habilitados; alcance Dependencias externas accesible; metodo Recuperacion preparado para validacion; bitacoras o monitoreo disponibles para evidencia.","Preparar el escenario de Disponibilidad -> Ubicar el alcance Dependencias externas -> Ejecutar la prueba caida de API de tipo de cambio, SMTP, storage o SAT -> Validar respuesta, controles, logs y evidencia","Degradacion controlada, alertas y reintentos definidos.","Pendiente de ejecucion.",
NF-066,Recuperacion,"Backup funcional de evidencia","Restaurar docs, remisiones e invoices desde respaldo de staging","Ambiente de QA disponible; controles de Recuperacion habilitados; alcance Backup funcional de evidencia accesible; metodo Recuperacion preparado para validacion; bitacoras o monitoreo disponibles para evidencia.","Preparar el escenario de Recuperacion -> Ubicar el alcance Backup funcional de evidencia -> Ejecutar la prueba restaurar docs, remisiones e invoices desde respaldo de staging -> Validar respuesta, controles, logs y evidencia","Archivos recuperables y rutas vigentes.","Pendiente de ejecucion.",
