ID,Modulo,"Requerimiento funcional","Escenario de prueba",Precondiciones,"Pasos ejecutados","Resultado esperado","Resultado obtenido",Estatus
F-003,"Acceso base","Forgot password","Mensaje de confirmacion","Ambiente de QA disponible; usuario con acceso al modulo Acceso base; flujo Forgot password habilitado; nivel de prueba UI + Feature HTTP disponible.","Ingresar al modulo Acceso base -> Abrir el flujo Forgot password -> Ejecutar el escenario mensaje de confirmacion -> Validar respuesta del sistema y evidencia generada","El sistema cumple correctamente con el escenario evaluado: mensaje de confirmacion.","Pendiente de ejecucion.",
F-004,"Acceso base","Reset password","Token valido","Ambiente de QA disponible; usuario con acceso al modulo Acceso base; flujo Reset password habilitado; nivel de prueba UI + Feature HTTP disponible; token de prueba generado.","Ingresar al modulo Acceso base -> Abrir el flujo Reset password -> Ejecutar el escenario token valido -> Validar respuesta del sistema y evidencia generada","El sistema cumple correctamente con el escenario evaluado: token valido.","Pendiente de ejecucion.",
F-004,"Acceso base","Reset password","Token expirado","Ambiente de QA disponible; usuario con acceso al modulo Acceso base; flujo Reset password habilitado; nivel de prueba UI + Feature HTTP disponible; token de prueba generado.","Ingresar al modulo Acceso base -> Abrir el flujo Reset password -> Ejecutar el escenario token expirado -> Validar respuesta del sistema y evidencia generada","El sistema rechaza la accion indicada, conserva la integridad del flujo y muestra el mensaje o validacion correspondiente.","Pendiente de ejecucion.",
F-004,"Acceso base","Reset password","Password policy","Ambiente de QA disponible; usuario con acceso al modulo Acceso base; flujo Reset password habilitado; nivel de prueba UI + Feature HTTP disponible; credenciales de prueba disponibles.","Ingresar al modulo Acceso base -> Abrir el flujo Reset password -> Ejecutar el escenario password policy -> Validar respuesta del sistema y evidencia generada","El sistema cumple correctamente con el escenario evaluado: password policy.","Pendiente de ejecucion.",
F-004,"Acceso base","Reset password","Confirmacion requerida","Ambiente de QA disponible; usuario con acceso al modulo Acceso base; flujo Reset password habilitado; nivel de prueba UI + Feature HTTP disponible.","Ingresar al modulo Acceso base -> Abrir el flujo Reset password -> Ejecutar el escenario confirmacion requerida -> Validar respuesta del sistema y evidencia generada","El sistema cumple correctamente con el escenario evaluado: confirmacion requerida.","Pendiente de ejecucion.",
F-004,"Acceso base","Reset password","Inicio de sesion posterior","Ambiente de QA disponible; usuario con acceso al modulo Acceso base; flujo Reset password habilitado; nivel de prueba UI + Feature HTTP disponible; credenciales de prueba disponibles.","Ingresar al modulo Acceso base -> Abrir el flujo Reset password -> Ejecutar el escenario inicio de sesion posterior -> Validar respuesta del sistema y evidencia generada","El sistema cumple correctamente con el escenario evaluado: inicio de sesion posterior.","Pendiente de ejecucion.",
F-005,"Acceso base","Verificacion de email","Aviso al usuario","Ambiente de QA disponible; usuario con acceso al modulo Acceso base; flujo Verificacion de email habilitado; nivel de prueba UI + Feature HTTP disponible.","Ingresar al modulo Acceso base -> Abrir el flujo Verificacion de email -> Ejecutar el escenario aviso al usuario -> Validar respuesta del sistema y evidencia generada","El sistema cumple correctamente con el escenario evaluado: aviso al usuario.","Pendiente de ejecucion.",
F-005,"Acceso base","Verificacion de email","Envio de nueva notificacion","Ambiente de QA disponible; usuario con acceso al modulo Acceso base; flujo Verificacion de email habilitado; nivel de prueba UI + Feature HTTP disponible.","Ingresar al modulo Acceso base -> Abrir el flujo Verificacion de email -> Ejecutar el escenario envio de nueva notificacion -> Validar respuesta del sistema y evidencia generada","El sistema genera y entrega la notificacion esperada sin errores.","Pendiente de ejecucion.",
F-005,"Acceso base","Verificacion de email","Enlace firmado valido","Ambiente de QA disponible; usuario con acceso al modulo Acceso base; flujo Verificacion de email habilitado; nivel de prueba UI + Feature HTTP disponible.","Ingresar al modulo Acceso base -> Abrir el flujo Verificacion de email -> Ejecutar el escenario enlace firmado valido -> Validar respuesta del sistema y evidencia generada","El sistema cumple correctamente con el escenario evaluado: enlace firmado valido.","Pendiente de ejecucion.",
F-005,"Acceso base","Verificacion de email","Enlace alterado o expirado","Ambiente de QA disponible; usuario con acceso al modulo Acceso base; flujo Verificacion de email habilitado; nivel de prueba UI + Feature HTTP disponible.","Ingresar al modulo Acceso base -> Abrir el flujo Verificacion de email -> Ejecutar el escenario enlace alterado o expirado -> Validar respuesta del sistema y evidencia generada","El sistema rechaza la accion indicada, conserva la integridad del flujo y muestra el mensaje o validacion correspondiente.","Pendiente de ejecucion.",
F-006,"Acceso base","Lock screen","Bloqueo manual","Ambiente de QA disponible; usuario con acceso al modulo Acceso base; flujo Lock screen habilitado; nivel de prueba UI + Feature HTTP disponible.","Ingresar al modulo Acceso base -> Abrir el flujo Lock screen -> Ejecutar el escenario bloqueo manual -> Validar respuesta del sistema y evidencia generada","El sistema impide el acceso o la accion no autorizada y mantiene protegido el recurso.","Pendiente de ejecucion.",
F-006,"Acceso base","Lock screen","Pantalla bloqueada aun con sesion valida","Ambiente de QA disponible; usuario con acceso al modulo Acceso base; flujo Lock screen habilitado; nivel de prueba UI + Feature HTTP disponible; credenciales de prueba disponibles.","Ingresar al modulo Acceso base -> Abrir el flujo Lock screen -> Ejecutar el escenario pantalla bloqueada aun con sesion valida -> Validar respuesta del sistema y evidencia generada","El sistema impide el acceso o la accion no autorizada y mantiene protegido el recurso.","Pendiente de ejecucion.",
F-006,"Acceso base","Lock screen","Desbloqueo con password correcta","Ambiente de QA disponible; usuario con acceso al modulo Acceso base; flujo Lock screen habilitado; nivel de prueba UI + Feature HTTP disponible; credenciales de prueba disponibles.","Ingresar al modulo Acceso base -> Abrir el flujo Lock screen -> Ejecutar el escenario desbloqueo con password correcta -> Validar respuesta del sistema y evidencia generada","El sistema impide el acceso o la accion no autorizada y mantiene protegido el recurso.","Pendiente de ejecucion.",
F-006,"Acceso base","Lock screen","Rechazo con password incorrecta","Ambiente de QA disponible; usuario con acceso al modulo Acceso base; flujo Lock screen habilitado; nivel de prueba UI + Feature HTTP disponible; credenciales de prueba disponibles.","Ingresar al modulo Acceso base -> Abrir el flujo Lock screen -> Ejecutar el escenario rechazo con password incorrecta -> Validar respuesta del sistema y evidencia generada","El sistema rechaza la accion indicada, conserva la integridad del flujo y muestra el mensaje o validacion correspondiente.","Pendiente de ejecucion.",
F-007,"Acceso base",Dashboard,"Visibilidad por rol","Ambiente de QA disponible; usuario con acceso al modulo Acceso base; flujo Dashboard habilitado; nivel de prueba UI disponible.","Ingresar al modulo Acceso base -> Abrir el flujo Dashboard -> Ejecutar el escenario visibilidad por rol -> Validar respuesta del sistema y evidencia generada","El sistema cumple correctamente con el escenario evaluado: visibilidad por rol.","Pendiente de ejecucion.",
F-007,"Acceso base",Dashboard,"Widgets sin error cuando no hay datos","Ambiente de QA disponible; usuario con acceso al modulo Acceso base; flujo Dashboard habilitado; nivel de prueba UI disponible; datos semilla cargados.","Ingresar al modulo Acceso base -> Abrir el flujo Dashboard -> Ejecutar el escenario widgets sin error cuando no hay datos -> Validar respuesta del sistema y evidencia generada","Los widgets se muestran sin errores con la informacion disponible para el usuario.","Pendiente de ejecucion.",
F-007,"Acceso base",Dashboard,"Carga con datos minimos y volumetricos","Ambiente de QA disponible; usuario con acceso al modulo Acceso base; flujo Dashboard habilitado; nivel de prueba UI disponible; datos semilla cargados.","Ingresar al modulo Acceso base -> Abrir el flujo Dashboard -> Ejecutar el escenario carga con datos minimos y volumetricos -> Validar respuesta del sistema y evidencia generada","El sistema cumple correctamente con el escenario evaluado: carga con datos minimos y volumetricos.","Pendiente de ejecucion.",
F-008,"Acceso base","Perfil de usuario","Editar nombre/email","Ambiente de QA disponible; usuario con acceso al modulo Acceso base; flujo Perfil de usuario habilitado; nivel de prueba UI + Feature HTTP disponible; correo de prueba configurado.","Ingresar al modulo Acceso base -> Abrir el flujo Perfil de usuario -> Ejecutar el escenario editar nombre/email -> Validar respuesta del sistema y evidencia generada","El sistema cumple correctamente con el escenario evaluado: editar nombre/email.","Pendiente de ejecucion.",
F-008,"Acceso base","Perfil de usuario",Validaciones,"Ambiente de QA disponible; usuario con acceso al modulo Acceso base; flujo Perfil de usuario habilitado; nivel de prueba UI + Feature HTTP disponible.","Ingresar al modulo Acceso base -> Abrir el flujo Perfil de usuario -> Ejecutar el escenario validaciones -> Validar respuesta del sistema y evidencia generada","El sistema cumple correctamente con el escenario evaluado: validaciones.","Pendiente de ejecucion.",
F-008,"Acceso base","Perfil de usuario","Cambio de password","Ambiente de QA disponible; usuario con acceso al modulo Acceso base; flujo Perfil de usuario habilitado; nivel de prueba UI + Feature HTTP disponible; credenciales de prueba disponibles.","Ingresar al modulo Acceso base -> Abrir el flujo Perfil de usuario -> Ejecutar el escenario cambio de password -> Validar respuesta del sistema y evidencia generada","El sistema cumple correctamente con el escenario evaluado: cambio de password.","Pendiente de ejecucion.",
F-008,"Acceso base","Perfil de usuario",Persistencia,"Ambiente de QA disponible; usuario con acceso al modulo Acceso base; flujo Perfil de usuario habilitado; nivel de prueba UI + Feature HTTP disponible.","Ingresar al modulo Acceso base -> Abrir el flujo Perfil de usuario -> Ejecutar el escenario persistencia -> Validar respuesta del sistema y evidencia generada","El sistema cumple correctamente con el escenario evaluado: persistencia.","Pendiente de ejecucion.",
F-008,"Acceso base","Perfil de usuario","Mensajes de exito y error","Ambiente de QA disponible; usuario con acceso al modulo Acceso base; flujo Perfil de usuario habilitado; nivel de prueba UI + Feature HTTP disponible.","Ingresar al modulo Acceso base -> Abrir el flujo Perfil de usuario -> Ejecutar el escenario mensajes de exito y error -> Validar respuesta del sistema y evidencia generada","El sistema cumple correctamente con el escenario evaluado: mensajes de exito y error.","Pendiente de ejecucion.",
F-009,"Acceso base","Eliminacion de cuenta","Borrado del usuario propietario","Ambiente de QA disponible; usuario con acceso al modulo Acceso base; flujo Eliminacion de cuenta habilitado; nivel de prueba Feature HTTP disponible.","Ingresar al modulo Acceso base -> Abrir el flujo Eliminacion de cuenta -> Ejecutar el escenario borrado del usuario propietario -> Validar respuesta del sistema y evidencia generada","La eliminacion se ejecuta conforme a las restricciones del negocio y sin afectar informacion no relacionada.","Pendiente de ejecucion.",
F-009,"Acceso base","Eliminacion de cuenta","Cierre de sesion","Ambiente de QA disponible; usuario con acceso al modulo Acceso base; flujo Eliminacion de cuenta habilitado; nivel de prueba Feature HTTP disponible; credenciales de prueba disponibles.","Ingresar al modulo Acceso base -> Abrir el flujo Eliminacion de cuenta -> Ejecutar el escenario cierre de sesion -> Validar respuesta del sistema y evidencia generada","El sistema cumple correctamente con el escenario evaluado: cierre de sesion.","Pendiente de ejecucion.",
F-009,"Acceso base","Eliminacion de cuenta","Proteccion contra borrado sin password correcta si aplica","Ambiente de QA disponible; usuario con acceso al modulo Acceso base; flujo Eliminacion de cuenta habilitado; nivel de prueba Feature HTTP disponible; credenciales de prueba disponibles.","Ingresar al modulo Acceso base -> Abrir el flujo Eliminacion de cuenta -> Ejecutar el escenario proteccion contra borrado sin password correcta si aplica -> Validar respuesta del sistema y evidencia generada","La eliminacion se ejecuta conforme a las restricciones del negocio y sin afectar informacion no relacionada.","Pendiente de ejecucion.",
F-010,"Acceso base","Centro de notificaciones",Listado,"Ambiente de QA disponible; usuario con acceso al modulo Acceso base; flujo Centro de notificaciones habilitado; nivel de prueba UI + Feature HTTP disponible; datos semilla cargados.","Ingresar al modulo Acceso base -> Abrir el flujo Centro de notificaciones -> Ejecutar el escenario listado -> Validar respuesta del sistema y evidencia generada","La informacion se muestra correctamente en pantalla, sin errores y con datos consistentes.","Pendiente de ejecucion.",
F-010,"Acceso base","Centro de notificaciones","Abrir notificacion redirige correctamente","Ambiente de QA disponible; usuario con acceso al modulo Acceso base; flujo Centro de notificaciones habilitado; nivel de prueba UI + Feature HTTP disponible.","Ingresar al modulo Acceso base -> Abrir el flujo Centro de notificaciones -> Ejecutar el escenario abrir notificacion redirige correctamente -> Validar respuesta del sistema y evidencia generada","El sistema genera y entrega la notificacion esperada sin errores.","Pendiente de ejecucion.",
F-010,"Acceso base","Centro de notificaciones","Marcar una como leida","Ambiente de QA disponible; usuario con acceso al modulo Acceso base; flujo Centro de notificaciones habilitado; nivel de prueba UI + Feature HTTP disponible.","Ingresar al modulo Acceso base -> Abrir el flujo Centro de notificaciones -> Ejecutar el escenario marcar una como leida -> Validar respuesta del sistema y evidencia generada","El sistema cumple correctamente con el escenario evaluado: marcar una como leida.","Pendiente de ejecucion.",
F-010,"Acceso base","Centro de notificaciones","Marcar todas como leidas","Ambiente de QA disponible; usuario con acceso al modulo Acceso base; flujo Centro de notificaciones habilitado; nivel de prueba UI + Feature HTTP disponible.","Ingresar al modulo Acceso base -> Abrir el flujo Centro de notificaciones -> Ejecutar el escenario marcar todas como leidas -> Validar respuesta del sistema y evidencia generada","El sistema cumple correctamente con el escenario evaluado: marcar todas como leidas.","Pendiente de ejecucion.",
F-011,Soporte,"Storage file proxy","Descarga de archivo existente","Ambiente de QA disponible; usuario con acceso al modulo Soporte; flujo Storage file proxy habilitado; nivel de prueba Feature HTTP disponible; archivo(s) de prueba disponible(s).","Ingresar al modulo Soporte -> Abrir el flujo Storage file proxy -> Ejecutar el escenario descarga de archivo existente -> Validar respuesta del sistema y evidencia generada","La descarga se genera correctamente y el archivo resultante es utilizable.","Pendiente de ejecucion.",
F-011,Soporte,"Storage file proxy","Mime correcto","Ambiente de QA disponible; usuario con acceso al modulo Soporte; flujo Storage file proxy habilitado; nivel de prueba Feature HTTP disponible.","Ingresar al modulo Soporte -> Abrir el flujo Storage file proxy -> Ejecutar el escenario mime correcto -> Validar respuesta del sistema y evidencia generada","El sistema cumple correctamente con el escenario evaluado: mime correcto.","Pendiente de ejecucion.",
F-011,Soporte,"Storage file proxy","404 en path inexistente","Ambiente de QA disponible; usuario con acceso al modulo Soporte; flujo Storage file proxy habilitado; nivel de prueba Feature HTTP disponible.","Ingresar al modulo Soporte -> Abrir el flujo Storage file proxy -> Ejecutar el escenario 404 en path inexistente -> Validar respuesta del sistema y evidencia generada","El sistema cumple correctamente con el escenario evaluado: 404 en path inexistente.","Pendiente de ejecucion.",
F-011,Soporte,"Storage file proxy","Rechazo a path traversal","Ambiente de QA disponible; usuario con acceso al modulo Soporte; flujo Storage file proxy habilitado; nivel de prueba Feature HTTP disponible.","Ingresar al modulo Soporte -> Abrir el flujo Storage file proxy -> Ejecutar el escenario rechazo a path traversal -> Validar respuesta del sistema y evidencia generada","El sistema rechaza la accion indicada, conserva la integridad del flujo y muestra el mensaje o validacion correspondiente.","Pendiente de ejecucion.",
F-012,Soporte,"Log viewer","Visualizacion de logs","Ambiente de QA disponible; usuario con acceso al modulo Soporte; flujo Log viewer habilitado; nivel de prueba UI + Feature HTTP disponible.","Ingresar al modulo Soporte -> Abrir el flujo Log viewer -> Ejecutar el escenario visualizacion de logs -> Validar respuesta del sistema y evidencia generada","El sistema cumple correctamente con el escenario evaluado: visualizacion de logs.","Pendiente de ejecucion.",
F-012,Soporte,"Log viewer","Limpieza de logs","Ambiente de QA disponible; usuario con acceso al modulo Soporte; flujo Log viewer habilitado; nivel de prueba UI + Feature HTTP disponible.","Ingresar al modulo Soporte -> Abrir el flujo Log viewer -> Ejecutar el escenario limpieza de logs -> Validar respuesta del sistema y evidencia generada","El sistema cumple correctamente con el escenario evaluado: limpieza de logs.","Pendiente de ejecucion.",
F-012,Soporte,"Log viewer","Restriccion de acceso","Ambiente de QA disponible; usuario con acceso al modulo Soporte; flujo Log viewer habilitado; nivel de prueba UI + Feature HTTP disponible.","Ingresar al modulo Soporte -> Abrir el flujo Log viewer -> Ejecutar el escenario restriccion de acceso -> Validar respuesta del sistema y evidencia generada","El sistema cumple correctamente con el escenario evaluado: restriccion de acceso.","Pendiente de ejecucion.",
F-012,Soporte,"Log viewer","Comportamiento sin archivo de log","Ambiente de QA disponible; usuario con acceso al modulo Soporte; flujo Log viewer habilitado; nivel de prueba UI + Feature HTTP disponible; archivo(s) de prueba disponible(s).","Ingresar al modulo Soporte -> Abrir el flujo Log viewer -> Ejecutar el escenario comportamiento sin archivo de log -> Validar respuesta del sistema y evidencia generada","El sistema cumple correctamente con el escenario evaluado: comportamiento sin archivo de log.","Pendiente de ejecucion.",
F-013,"Seguridad funcional","Matriz de acceso por modulo","Cada rol accede solo a modulos permitidos por config/module_access.php","Ambiente de QA disponible; usuario con acceso al modulo Seguridad funcional; flujo Matriz de acceso por modulo habilitado; nivel de prueba Feature HTTP disponible.","Ingresar al modulo Seguridad funcional -> Abrir el flujo Matriz de acceso por modulo -> Ejecutar el escenario cada rol accede solo a modulos permitidos por config/module_access.php -> Validar respuesta del sistema y evidencia generada","El sistema cumple correctamente con el escenario evaluado: cada rol accede solo a modulos permitidos por config/module_access.php.","Pendiente de ejecucion.",
F-013,"Seguridad funcional","Matriz de acceso por modulo","Alias super_admin y accountant resuelven correctamente","Ambiente de QA disponible; usuario con acceso al modulo Seguridad funcional; flujo Matriz de acceso por modulo habilitado; nivel de prueba Feature HTTP disponible.","Ingresar al modulo Seguridad funcional -> Abrir el flujo Matriz de acceso por modulo -> Ejecutar el escenario alias super_admin y accountant resuelven correctamente -> Validar respuesta del sistema y evidencia generada","El sistema cumple correctamente con el escenario evaluado: alias super_admin y accountant resuelven correctamente.","Pendiente de ejecucion.",
F-020,Proveedores,"Registro publico de proveedor","Alta completa","Ambiente de QA disponible; usuario con acceso al modulo Proveedores; flujo Registro publico de proveedor habilitado; nivel de prueba UI + Feature HTTP disponible.","Ingresar al modulo Proveedores -> Abrir el flujo Registro publico de proveedor -> Ejecutar el escenario alta completa -> Validar respuesta del sistema y evidencia generada","El registro se crea correctamente, respetando validaciones y reglas de negocio.","Pendiente de ejecucion.",
F-020,Proveedores,"Registro publico de proveedor","Campos obligatorios","Ambiente de QA disponible; usuario con acceso al modulo Proveedores; flujo Registro publico de proveedor habilitado; nivel de prueba UI + Feature HTTP disponible.","Ingresar al modulo Proveedores -> Abrir el flujo Registro publico de proveedor -> Ejecutar el escenario campos obligatorios -> Validar respuesta del sistema y evidencia generada","El sistema cumple correctamente con el escenario evaluado: campos obligatorios.","Pendiente de ejecucion.",
F-020,Proveedores,"Registro publico de proveedor","Datos fiscales validos","Ambiente de QA disponible; usuario con acceso al modulo Proveedores; flujo Registro publico de proveedor habilitado; nivel de prueba UI + Feature HTTP disponible; datos semilla cargados.","Ingresar al modulo Proveedores -> Abrir el flujo Registro publico de proveedor -> Ejecutar el escenario datos fiscales validos -> Validar respuesta del sistema y evidencia generada","El sistema cumple correctamente con el escenario evaluado: datos fiscales validos.","Pendiente de ejecucion.",
F-020,Proveedores,"Registro publico de proveedor","Persistencia de usuario y supplier","Ambiente de QA disponible; usuario con acceso al modulo Proveedores; flujo Registro publico de proveedor habilitado; nivel de prueba UI + Feature HTTP disponible.","Ingresar al modulo Proveedores -> Abrir el flujo Registro publico de proveedor -> Ejecutar el escenario persistencia de usuario y supplier -> Validar respuesta del sistema y evidencia generada","El sistema cumple correctamente con el escenario evaluado: persistencia de usuario y supplier.","Pendiente de ejecucion.",
F-020,Proveedores,"Registro publico de proveedor","Asignacion de rol supplier","Ambiente de QA disponible; usuario con acceso al modulo Proveedores; flujo Registro publico de proveedor habilitado; nivel de prueba UI + Feature HTTP disponible.","Ingresar al modulo Proveedores -> Abrir el flujo Registro publico de proveedor -> Ejecutar el escenario asignacion de rol supplier -> Validar respuesta del sistema y evidencia generada","El sistema cumple correctamente con el escenario evaluado: asignacion de rol supplier.","Pendiente de ejecucion.",
F-021,Proveedores,"Dominio de email permitido","Aceptacion de dominio permitido","Ambiente de QA disponible; usuario con acceso al modulo Proveedores; flujo Dominio de email permitido habilitado; nivel de prueba Feature HTTP + Rule disponible.","Ingresar al modulo Proveedores -> Abrir el flujo Dominio de email permitido -> Ejecutar el escenario aceptacion de dominio permitido -> Validar respuesta del sistema y evidencia generada","El sistema cumple correctamente con el escenario evaluado: aceptacion de dominio permitido.","Pendiente de ejecucion.",
F-021,Proveedores,"Dominio de email permitido","Rechazo de dominio no permitido","Ambiente de QA disponible; usuario con acceso al modulo Proveedores; flujo Dominio de email permitido habilitado; nivel de prueba Feature HTTP + Rule disponible.","Ingresar al modulo Proveedores -> Abrir el flujo Dominio de email permitido -> Ejecutar el escenario rechazo de dominio no permitido -> Validar respuesta del sistema y evidencia generada","El sistema rechaza la accion indicada, conserva la integridad del flujo y muestra el mensaje o validacion correspondiente.","Pendiente de ejecucion.",
F-021,Proveedores,"Dominio de email permitido","Normalizacion de mayusculas/minusculas","Ambiente de QA disponible; usuario con acceso al modulo Proveedores; flujo Dominio de email permitido habilitado; nivel de prueba Feature HTTP + Rule disponible.","Ingresar al modulo Proveedores -> Abrir el flujo Dominio de email permitido -> Ejecutar el escenario normalizacion de mayusculas/minusculas -> Validar respuesta del sistema y evidencia generada","El sistema cumple correctamente con el escenario evaluado: normalizacion de mayusculas/minusculas.","Pendiente de ejecucion.",
F-022,Proveedores,"Validacion de RFC","RFC valido persona moral/fisica","Ambiente de QA disponible; usuario con acceso al modulo Proveedores; flujo Validacion de RFC habilitado; nivel de prueba Feature HTTP + Rule disponible.","Ingresar al modulo Proveedores -> Abrir el flujo Validacion de RFC -> Ejecutar el escenario RFC valido persona moral/fisica -> Validar respuesta del sistema y evidencia generada","El sistema cumple correctamente con el escenario evaluado: RFC valido persona moral/fisica.","Pendiente de ejecucion.",
F-022,Proveedores,"Validacion de RFC","RFC invalido","Ambiente de QA disponible; usuario con acceso al modulo Proveedores; flujo Validacion de RFC habilitado; nivel de prueba Feature HTTP + Rule disponible.","Ingresar al modulo Proveedores -> Abrir el flujo Validacion de RFC -> Ejecutar el escenario RFC invalido -> Validar respuesta del sistema y evidencia generada","El sistema rechaza la accion indicada, conserva la integridad del flujo y muestra el mensaje o validacion correspondiente.","Pendiente de ejecucion.",
F-022,Proveedores,"Validacion de RFC","Formato con espacios","Ambiente de QA disponible; usuario con acceso al modulo Proveedores; flujo Validacion de RFC habilitado; nivel de prueba Feature HTTP + Rule disponible.","Ingresar al modulo Proveedores -> Abrir el flujo Validacion de RFC -> Ejecutar el escenario formato con espacios -> Validar respuesta del sistema y evidencia generada","El sistema cumple correctamente con el escenario evaluado: formato con espacios.","Pendiente de ejecucion.",
F-022,Proveedores,"Validacion de RFC",Duplicidad,"Ambiente de QA disponible; usuario con acceso al modulo Proveedores; flujo Validacion de RFC habilitado; nivel de prueba Feature HTTP + Rule disponible.","Ingresar al modulo Proveedores -> Abrir el flujo Validacion de RFC -> Ejecutar el escenario duplicidad -> Validar respuesta del sistema y evidencia generada","El sistema cumple correctamente con el escenario evaluado: duplicidad.","Pendiente de ejecucion.",
